COMUNA,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,nombre_comuna_upper,codigo_comuna,nombre_comuna,pop_total,grd_rate_per_10k
LO PRADO,6169,5589,0,0.0,5.9555843734803044,6.091250670960816,,1.383803959753327,3.0637056248986867,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",LO PRADO,13117,Lo Prado,91290.0,675.7585715850587
PUDAHUEL,10910,10185,0,0.0,6.026122823098075,6.163181148748159,,1.483220245736292,2.722273143904675,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",PUDAHUEL,13124,Pudahuel,227820.0,478.8868404881046
