Comuna Nombre,comuna,pop_total,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio
Lo Prado,13117,91290.0,78678.0,12110.0,13.265417899003177,41.0,34.0,11.056758411989337,12.004300101844517,0.6259051783030468,0.7541796267496111,0.4754654771140419
Pudahuel,13124,227820.0,210831.0,15344.0,6.735141778597138,37.0,33.0,11.692555272734923,12.441821869813756,0.6193857649094855,0.7385826771653543,0.42864309633401476
