codigo_comuna_residencia,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,Comuna Nombre,pop_total,eno_rate_per_10k
13117,591,442,149,0,"VIH, Sifilis, Parotiditis",Lo Prado,91290.0,64.73874465987512
13124,1051,882,169,0,"VIH, Sifilis, Parotiditis",Pudahuel,227820.0,46.13291194802915
