codigo_comuna,nombre_comuna,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k
13116,Lo Espejo,5269,4949,320,6.073258682862023,6.763142911368381,6.819357445948676,5.89375,1.626684380337825,2.770924274055798,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",603.5855432728106
13202,Pirque,1731,1702,29,1.675332177931831,4.176776429809359,4.1574618096357225,5.310344827586207,1.4962449451184288,2.541883304448296,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99), Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59)",595.6641431520991
13111,La Granja,14803,13943,860,5.809633182463014,5.393568871174762,5.440436061105931,4.633720930232558,1.482875092886577,2.526514895629264,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99),1321.4368606166645
13118,Macul,13343,12128,1215,9.105898223787753,5.520947313197931,5.670679419525066,4.026337448559671,1.5699617777111594,3.440005995653152,Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),1077.7867528271406
13131,San Ramón,11743,10986,757,6.446393596184961,4.966448096738483,5.019843437101766,4.191545574636724,1.4538022651792557,2.214084986800647,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59),1545.0909186600354
13109,La Reina,5004,4692,312,6.24,5.38,5.48,3.85,1.382,2.618,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",485.09
13122,Quilicura,13062,11120,1942,14.87,5.9,6.17,4.4,1.393,2.167,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",552.36
13125,Tiltil,1435,1360,75,5.23,6.31,6.4,4.75,1.348,3.345,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",69.79
13119,maipu,62614,58932,3682,5.88,7.02,7.16,4.68,1.64,3.49,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99)",1250.78
13605,Peñaflor,10357,9981,376,3.63,6.14,6.17,5.43,1.39,1.89,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1097.12
