codigo_comuna,nombre_comuna,pop_total,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k
13401,San Bernardo,306371,284663,19544,6.38,34.0,33.0,11.6,12.24,60.81,71.16,45.28,2172,1129,149,894,"PAROTIDITIS, SIN COMPLICACIONES, no aplica, TOS FERINA, NO ESPECIFICADA",70.89443844228076,44506,42580,1926,4.33,6.01,6.04,5.52,1.47,2.35,"EMBARAZO, PARTO Y PUERPERIO, ENFERMEDADES DEL APARATO DIGESTIVO, LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS",1452.68
13403,Calera de Tango,25491,24430,898,3.52,37.0,35.0,11.97,12.04,60.39,72.7,45.97,84,62,11,11,"no aplica, PAROTIDITIS, SIN COMPLICACIONES, HEPATITIS VIRAL TIPO B CRONICA, SIN AGENTE DELTA",32.952806873014005,1539,1502,37,2.4,7.22,7.24,6.43,1.75,2.6,"LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS, ENFERMEDADES DEL APARATO RESPIRATORIO, ENFERMEDADES DEL APARATO DIGESTIVO",603.74
13111,La Granja,112022,101705,9550,8.525111138883434,39.0,32.0,10.85673384925022,12.150498640072527,59.35718379536063,72.13942914877495,49.86421223026395,943,454,108,381,VIH | Parotiditis | Coqueluche,84.17989323525737,14803,13943,860,5.809633182463014,5.393568871174762,5.440436061105931,4.633720930232558,1.482875092886577,2.526514895629264,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99),1321.4368606166645
13118,Macul,123800,105336,17497,14.133279483037157,39.0,35.0,13.33633394303632,14.598976488911964,69.14035980991174,81.18907043800631,44.13281641111615,890,405,110,375,VIH | Parotiditis | Coqueluche,71.89014539579968,13343,12128,1215,9.105898223787753,5.520947313197931,5.670679419525066,4.026337448559671,1.5699617777111594,3.440005995653152,Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),1077.7867528271406
13131,San Ramón,76002,69248,6214,8.176100628930818,40.0,32.0,10.520866973046829,11.916823308270676,60.3259789306301,73.8268211270371,49.66916108704214,687,359,54,274,VIH | Parotiditis | Coqueluche,90.39235809583958,11743,10986,757,6.446393596184961,4.966448096738483,5.019843437101766,4.191545574636724,1.4538022651792557,2.214084986800647,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59),1545.0909186600354
13605,Peñaflor,94402,90616,3235,3.426834177242008,36.0,34.0,11.981958677958282,12.994342906875543,59.73916291760732,70.5074399084319,46.112770666625394,441,251,32,158,VIH | Parotiditis | Coqueluche,46.72,10357,9981,376,3.63,6.14,6.17,5.43,1.39,1.89,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1097.12
13109,La Reina,103157,82209,19762,19.38,37.0,32.0,12.91,13.56,67.5,78.9,44.8,714,333,149,232,VIH | Parotiditis | Coqueluche,69.21,5004,4692,312,6.24,5.38,5.48,3.85,1.382,2.618,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",485.09
13125,Tiltil,205624,177098,27310,13.36,34.0,34.0,12.17,12.35,62.1,74.0,38.5,1592,769,270,553,VIH | Parotiditis | Coqueluche,77.42,1435,1360,75,5.23,6.31,6.4,4.75,1.348,3.345,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",69.79
13120,Ñuñoa,241467,239323,0,0.0,37.0,,15.7067,,77.3343,,38.3377,1735,830,255,650,VIH | Parotiditis | Coqueluche,71.8525,17291,15769,1522,8.8023,20.9672,21.2153,18.3968,1.3757,2.9611,H26 | K80 | K35,716.0813
13129,San Joaquín,95602,95039,0,0.0,38.0,,12.0399,,65.7219,,47.1774,767,372,161,234,VIH | Parotiditis | Coqueluche,80.2284,12206,11098,1108,9.0775,23.5948,23.4759,24.7852,1.5568,3.2525,H26 | K80 | K35,1276.7515
13203,San José de Maipo,17441,17303,0,0.0,39.0,,12.3072,,65.0779,,48.4593,92,51,11,30,VIH | Parotiditis | Coqueluche,52.7493,2844,2781,63,2.2152,18.8481,18.7666,22.4444,1.4132,1.4065,H26 | K80 | K35,1630.6404
